timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
30,1.4,1.969010382985588,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03098403857842991,-0.03098403857842991,0.0,0.0,0.0,0.0
31,1.4,1.9680114056770344,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.0319826440785208,-0.0319826440785208,-0.0009990702606695655,0.0,0.0,0.0
32,1.4,1.9670124948309795,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03298117263145203,-0.03298117263145203,-0.001998063567208064,0.0,0.0,0.0
33,1.4,1.9660136534433588,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03397962124209655,-0.03397962124209655,-0.0029969769244885466,0.0,0.0,0.0
34,1.4,1.9650148845098627,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03497798691560308,-0.03497798691560308,-0.00399580733765984,0.0,0.0,0.0
35,1.4,1.9640161910259286,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.0359762666574051,-0.0359762666574051,-0.004994551812155527,0.0,0.0,0.0
36,1.4,1.9630175759867317,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.036974457473229826,-0.036974457473229826,-0.005993207353702928,0.0,0.0,0.0
37,1.4,1.9620190423871757,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03797255636910718,-0.03797255636910718,-0.006991770968332078,0.0,0.0,0.0
38,1.4,1.961020593221884,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.0389705603513788,-0.0389705603513788,-0.00799023966238471,0.0,0.0,0.0
39,1.4,1.9600222314851912,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.03996846642670698,-0.03996846642670698,-0.008988610442523222,0.0,0.0,0.0
40,1.4,1.959023960171133,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.040966271602083666,-0.040966271602083666,-0.009986880315739669,0.0,0.0,0.0
41,1.4,1.9580257822734386,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.041963972884839426,-0.041963972884839426,-0.010985046289364721,0.0,0.0,0.0
42,1.4,1.9570277007855204,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04296156728265242,-0.04296156728265242,-0.01198310537107665,0.0,0.0,0.0
43,1.4,1.956029718700466,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04395905180355739,-0.04395905180355739,-0.012981054568910293,0.0,0.0,0.0
44,1.4,1.955031839011029,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04495642345595461,-0.04495642345595461,-0.013978890891266032,0.0,0.0,0.0
45,1.4,1.9540340647096197,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.045953679248618866,-0.045953679248618866,-0.01497661134691876,0.0,0.0,0.0
46,1.4,1.9530363987882962,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04695081619070843,-0.04695081619070843,-0.01597421294502685,0.0,0.0,0.0
47,1.4,1.9520388442387557,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04794783129177402,-0.04794783129177402,-0.016971692695141125,0.0,0.0,0.0
48,1.4,1.9510414040523256,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04894472156176776,-0.04894472156176776,-0.017969047607213823,0.0,0.0,0.0
49,1.4,1.950044081219954,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.04994148401105218,-0.04994148401105218,-0.018966274691607558,0.0,0.0,0.0
50,1.4,1.949046878732201,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.05093811565040913,-0.05093811565040913,-0.019963370959104297,0.0,0.0,0.0
51,1.4,1.94804979957923,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.051934613491048776,-0.051934613491048776,-0.02096033342091431,0.0,0.0,0.0
52,1.4,1.9470528467507986,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.05293097454461855,-0.05293097454461855,-0.021957159088685136,0.0,0.0,0.0
53,1.4,1.9460560232362492,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.05392719582321212,-0.05392719582321212,-0.022953844974510543,0.0,0.0,0.0
54,1.4,1.9450593320245007,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.000996887424103559,-0.05492327433937833,-0.05492327433937833,-0.023950388090939485,0.0,0.0,0.0
